盔甲编号	部件编号	说明
239	31	韵霓裳
240	31	迷魂裳
241	31	九尾白狐裘
242	32	锦衫
243	32	绮丽衫
244	32	花纱衫
245	32	蜀锦衫
246	33	宋锦衫
247	33	云锦衫
248	33	青罗衫
249	34	漆纱衫
250	34	绫罗衫
251	34	沉香衫
252	35	镶铁女甲
253	35	青铜女甲
254	35	白茸甲
255	35	蓝燕钢甲
256	36	红茸甲
257	36	赤雁甲
258	36	血铜甲
259	37	烂银甲
260	37	玄铁雪银甲
261	37	霹雳金凤甲
262	38	破麻衣
263	38	破棉衣
264	38	破蓑衣
265	38	白补衣
266	39	千补衣
267	39	羊皮甲
268	39	牛皮甲
269	40	紫鼠衣
270	40	灰貂衣
271	40	万众齐心衣
272	41	百迭裙
273	41	青罗裙
274	41	织锦石榴裙
275	41	双蝶绣罗裙
276	42	百鸟裙
277	42	月华裙
278	42	凤尾裙
279	43	琼玉裙
280	43	百凤朝阳裙
281	43	留仙裙
282	44	凤装
283	45	惊天甲
284	46	清绝衣
285	44	凰裙
286	45	泣地裙
287	46	冰晶裙
288	47	迎新衣
289	47	贺岁裙
290	46	冰晶裙
291	46	冰晶裙
292	15	金枫之麒麟血
293	15	金枫之麒麟血
294	15	金枫之麒麟血
295	15	金枫之麒麟血
296	15	金枫之麒麟血
297	15	金枫之麒麟血
298	15	金枫之麒麟血
299	15	金枫之麒麟血
300	15	金枫之麒麟血
301	15	金枫之麒麟血
302	13	定国之青纱长衫
303	13	定国之青纱长衫
304	13	定国之青纱长衫
305	13	定国之青纱长衫
306	13	定国之青纱长衫
307	13	定国之青纱长衫
308	13	定国之青纱长衫
309	13	定国之青纱长衫
310	13	定国之青纱长衫
311	13	定国之青纱长衫
312	4	梦龙之金丝正红袈裟+1
313	4	梦龙之金丝正红袈裟+2
314	4	梦龙之金丝正红袈裟+3
315	4	梦龙之金丝正红袈裟+4
316	4	梦龙之金丝正红袈裟+5
317	4	梦龙之金丝正红袈裟+6
318	4	梦龙之金丝正红袈裟+7
319	4	梦龙之金丝正红袈裟+8
320	4	梦龙之金丝正红袈裟+9
321	25	[天赐的]梦龙之金丝正红袈裟
322	16	继业之玄武黄金铠+1
323	16	继业之玄武黄金铠+2
324	16	继业之玄武黄金铠+3
325	16	继业之玄武黄金铠+4
326	16	继业之玄武黄金铠+5
327	16	继业之玄武黄金铠+6
328	16	继业之玄武黄金铠+7
329	16	继业之玄武黄金铠+8
330	16	继业之玄武黄金铠+9
331	48	[天赐的]继业之玄武黄金铠
332	13	冰寒之玄衣束甲+1
333	13	冰寒之玄衣束甲+2
334	13	冰寒之玄衣束甲+3
335	13	冰寒之玄衣束甲+4
336	13	冰寒之玄衣束甲+5
337	13	冰寒之玄衣束甲+6
338	13	冰寒之玄衣束甲+7
339	13	冰寒之玄衣束甲+8
340	13	冰寒之玄衣束甲+9
341	34	[天赐的]冰寒之玄衣束甲
342	9	冥幻之幽蛊暗衣+1
343	9	冥幻之幽蛊暗衣+2
344	9	冥幻之幽蛊暗衣+3
345	9	冥幻之幽蛊暗衣+4
346	9	冥幻之幽蛊暗衣+5
347	9	冥幻之幽蛊暗衣+6
348	9	冥幻之幽蛊暗衣+7
349	9	冥幻之幽蛊暗衣+8
350	9	冥幻之幽蛊暗衣+9
351	30	[天赐的]冥幻之幽蛊暗衣
352	16	无间之灭绝战甲+1
353	16	无间之灭绝战甲+2
354	16	无间之灭绝战甲+3
355	16	无间之灭绝战甲+4
356	16	无间之灭绝战甲+5
357	16	无间之灭绝战甲+6
358	16	无间之灭绝战甲+7
359	16	无间之灭绝战甲+8
360	16	无间之灭绝战甲+9
361	37	[天赐的]无间之灭绝战甲
362	10	栖凰之慧心轻纱衣+1
363	10	栖凰之慧心轻纱衣+2
364	10	栖凰之慧心轻纱衣+3
365	10	栖凰之慧心轻纱衣+4
366	10	栖凰之慧心轻纱衣+5
367	10	栖凰之慧心轻纱衣+6
368	10	栖凰之慧心轻纱衣+7
369	10	栖凰之慧心轻纱衣+8
370	10	栖凰之慧心轻纱衣+9
371	31	[天赐的]栖凰之慧心轻纱衣
372	7	同仇之降龙丐衣+1
373	19	同仇之降龙丐衣+2
374	19	同仇之降龙丐衣+3
375	19	同仇之降龙丐衣+4
376	19	同仇之降龙丐衣+5
377	19	同仇之降龙丐衣+6
378	19	同仇之降龙丐衣+7
379	19	同仇之降龙丐衣+8
380	19	同仇之降龙丐衣+9
381	40	[天赐的]同仇之降龙丐衣
382	10	魔煞之残阳映血甲+1
383	10	魔煞之残阳映血甲+2
384	10	魔煞之残阳映血甲+3
385	10	魔煞之残阳映血甲+4
386	10	魔煞之残阳映血甲+5
387	10	魔煞之残阳映血甲+6
388	10	魔煞之残阳映血甲+7
389	10	魔煞之残阳映血甲+8
390	10	魔煞之残阳映血甲+9
391	31	[天赐的]魔煞之残阳映血甲
392	7	及丰之真武战衣+1
393	7	及丰之真武战衣+2
394	7	及丰之真武战衣+3
395	7	及丰之真武战衣+4
396	7	及丰之真武战衣+5
397	7	及丰之真武战衣+6
398	7	及丰之真武战衣+7
399	7	及丰之真武战衣+8
400	7	及丰之真武战衣+9
401	28	[天赐的]及丰之真武战衣
402	21	霜晶之天清战衣+1
403	21	霜晶之天清战衣+2
404	21	霜晶之天清战衣+3
405	21	霜晶之天清战衣+4
406	21	霜晶之天清战衣+5
407	21	霜晶之天清战衣+6
408	21	霜晶之天清战衣+7
409	21	霜晶之天清战衣+8
410	21	霜晶之天清战衣+9
411	42	[天赐的]霜晶之天清战衣
412	44	<color=red>荣耀之衣<color>
413	45	<color=red>荣耀之衣<color>
414	46	<color=red>荣耀之衣<color>
415	47	<color=red>荣耀之衣<color>
416	25	<color=red>荣耀之衣<color>
417	34	<color=red>荣耀之衣<color>
418	31	<color=red>荣耀之衣<color>
419	28	<color=red>荣耀之衣<color>
420	48	<color=red>荣耀之衣<color>
421	37	<color=red>荣耀之衣<color>
422	48	<color=pink>大马虎之唐猊甲[1]<color>
423	48	<color=pink>大马虎之唐猊甲[2]<color>
424	48	<color=pink>大马虎之唐猊甲[3]<color>
425	48	<color=pink>大马虎之唐猊甲[4]<color>
426	48	<color=pink>大马虎之唐猊甲[5]<color>
427	48	<color=pink>大马虎之唐猊甲[6]<color>
428	48	<color=pink>大马虎之唐猊甲[7]<color>
429	48	<color=pink>大马虎之唐猊甲[8]<color>
430	48	<color=pink>大马虎之唐猊甲[9]<color>
431	48	<color=pink>大马虎之唐猊甲[10]<color>
