Id	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	LifeParam	LifeReplenish	ARParam	DefenseParam	MinDamageParam	MaxDamageParam	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime
10	Hong Ho	0	5	0	1			57				ani015	0	0	0	0	0	12	30	14	11	22	9	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	80	30	90	40	40	20	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
11	Heo Rung	0	5	0	1			60				ani018	0	0	0	0	0	10	43	30	12	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	80	60	20	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
12	Nhim	0	5	0	1			61				ani019	0	0	0	0	0	14	11	17	10	20	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	50	40	60	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
13	Voi Chau A	0	5	0	1			63				ani021	0	0	0	0	0	38	38	38	12	24	16	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	60	30	50	40	60	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	148	\settings\droprate\quai10x.ini	10
14	Voi Hoang Ha	0	5	0	1			66				ani024	0	0	0	0	0	38	38	38	12	24	16	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	60	30	50	40	60	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	148	\settings\droprate\quai10x.ini	10
15	Gau Nau	0	5	0	1			67				ani025	0	0	0	0	0	14	24	31	12	27	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	70	40	80	80	50	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
16	Gau Den	0	5	0	1			68				ani026	0	0	0	0	0	14	16	26	12	21	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	60	40	80	80	50	10	0	0	20	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
17	Trau Rung	0	5	0	1			71				ani029	0	0	0	0	0	30	32	36	15	23	15	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	70	50	10	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
18	Ca Sau	0	5	0	1			75				ani033	0	0	0	0	0	30	30	30	9	26	15	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	80	60	20	0	0	0	20	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
19	Hoa Tich Lich	0	5	0	1			78				ani036	0	0	0	0	0	32	32	32	9	24	15	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	70	30	80	60	50	20	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
20	Nhan Kinh Xa	0	5	0	1			79				ani037	0	0	0	0	0	27	27	24	10	11	15	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	80	40	80	70	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
21	Luc Sac Xa	0	5	0	1			80				ani038	0	0	0	0	0	13	20	19	10	20	6	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	80	40	80	70	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
22	Kim Hoang Xa	0	5	0	1			81				ani039	0	0	0	0	0	35	35	26	10	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	80	40	80	70	60	10	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
23	Xich Luyen Xa	0	5	0	1			82				ani040	0	0	0	0	0	15	13	14	10	20	7	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	80	40	80	60	60	10	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
24	Kim Dieu	0	5	0	1			83				ani041	0	0	0	0	0	9	9	15	10	4	7	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	30	30	50	60	70	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	115	\settings\droprate\quai10x.ini	10
25	Thuong Ung	0	5	0	1			84				ani042	0	0	0	0	0	20	20	28	10	12	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	80	30	60	60	70	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	115	\settings\droprate\quai10x.ini	10
26	Ken Ken	0	5	0	1			85				ani043	0	0	0	0	0	12	14	16	10	9	8	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	80	30	70	60	70	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	115	\settings\droprate\quai10x.ini	10
27	Doi Chua	0	5	0	1			87				ani045	0	0	0	0	0	12	27	28	10	10	18	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	70	40	50	60	60	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	112	\settings\droprate\quai10x.ini	10
28	Doi Chua Do	0	5	0	1			88				ani046	0	0	0	0	0	14	23	28	10	10	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	80	30	50	60	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	112	\settings\droprate\quai10x.ini	10
29	Doi Dong	0	5	0	1			89				ani047	0	0	0	0	0	14	23	28	10	10	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	60	30	50	60	60	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	112	\settings\droprate\quai10x.ini	10
30	Doi Hut Mau	0	5	0	1			90				ani048	0	0	0	0	0	14	23	28	10	10	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	8	8	25	25	400	10	700	1	60	30	80	80	50	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	112	\settings\droprate\quai10x.ini	10
31	Kim Mieu	0	5	0	1			91				ani049	0	0	0	0	0	24	29	24	7	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	10	10	0	0	0	20	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
32	Xa Li	0	5	0	1			92				ani050	0	0	0	0	0	14	16	19	8	9	15	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	90	30	30	0	0	0	20	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
33	Hoan Hung	0	5	0	1			93				ani051	0	0	0	0	0	11	22	28	8	8	16	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	70	20	40	0	0	0	20	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
34	Linh Mieu	0	5	0	1			94				ani052	0	0	0	0	0	14	22	22	7	8	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	30	50	40	70	0	0	20	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
35	Tang Vuc Hau	0	5	0	1			95				ani053	0	0	0	0	0	30	31	23	8	21	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	40	70	0	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
36	Hoi Diep Hau	0	5	0	1			96				ani054	0	0	0	0	0	36	31	28	8	19	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	20	30	50	40	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
37	Hac Diep Hau	0	5	0	1			97				ani055	0	0	0	0	0	30	31	22	8	21	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	20	20	50	40	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
38	Kim Ty Hau	0	5	0	1			98				ani056	0	0	0	0	0	24	25	22	8	18	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	40	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
39	Thiet Cau	0	5	0	1			100				ani058	0	0	0	0	0	32	32	36	10	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	40	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
40	Tuyet Quai	0	5	0	1			101				ani059	0	0	0	0	0	28	28	28	8	27	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	30	30	50	40	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
41	Coc	0	5	0	1			102				ani060	0	0	0	0	0	36	36	26	12	24	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	40	40	20	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
42	Huou Dom	0	5	0	1			103				ani061	0	0	0	0	0	35	35	31	11	22	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	4	4	25	25	400	10	700	1	80	40	10	0	0	0	10	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
43	Heo trang	0	5	0	1			105				ani063	0	0	0	0	0	31	36	31	10	20	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	3	3	25	25	400	10	700	1	60	20	10	0	0	0	10	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
44	Bo Cap	0	5	0	1			107				ani065	0	0	0	0	0	21	20	24	9	21	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	40	20	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
45	Nhen	0	5	0	1			108				ani066	0	0	0	0	0	30	30	30	6	6	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	70	70	70	0	0	10	20	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
46	Ret	0	5	0	1			109				ani067	0	0	0	0	0	18	17	24	8	12	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	50	70	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
47	Nam Tong Quan Vien	0	5	2	1			112				enemy003	0	0	0	0	0	24	33	20	11	23	17	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	60	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
48	Nam Tong Nguyen Soai	0	5	0	1			114				boss062	0	0	0	0	0	23	23	18	12	18	10	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|1	100	100	100	100	6	6	12	12	800	10	1000	1	50	25	25	25	25	30	50	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
49	Kim Quoc Quan Vien	0	5	4	1			114				boss069	0	0	0	0	0	23	23	18	12	18	10	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	60	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
50	Kim Quoc Dai Tuong	0	5	0	1			112				enemy006	0	0	0	0	0	24	33	20	11	10	10	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|1	100	100	100	100	6	6	12	12	800	10	1000	1	50	25	25	25	25	30	50	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
51	Nam Tong Sai Dich	0	5	1	1			116				enemy007	0	0	0	0	0	27	27	31	10	23	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	50	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
52	Kim Quoc Khoai Bo	0	5	2	1			125				enemy016	0	0	0	0	0	23	36	14	10	19	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	50	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
53	Nam Tong Vo Tuong	0	5	3	1			126				enemy017	0	0	0	0	0	24	26	19	10	26	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	30	30	50	50	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
54	Nam Tong Pho Tuong	0	5	4	1			130				enemy021	0	0	0	0	0	28	28	36	11	24	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	50	10	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
55	Nam Tong Pho Tuong	0	5	0	1			131				enemy022	0	0	0	0	0	33	43	24	11	22	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	50	10	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
56	Kim Quoc Pho Tuong	0	5	1	1			132				enemy023	0	0	0	0	0	32	55	38	14	31	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	7	7	25	25	400	10	700	1	50	50	10	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
57	Kim Quoc Pho Tuong	0	5	2	1			133				enemy024	0	0	0	0	0	24	40	32	13	24	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	50	10	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
58	Nam Tong Cung Binh	0	5	3	1			135				enemy026	0	0	0	0	0	25	31	30	10	24	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	70	40	20	0	0	0	10	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
59	Kim Quoc Cung Binh	0	5	4	1			137				enemy028	0	0	0	0	0	24	28	31	10	26	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	30	50	50	50	0	0	20	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
60	Nam Tong Dao Binh	0	5	0	1			138				enemy029	0	0	0	0	0	33	36	23	13	26	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	40	30	80	70	50	0	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
61	Kim Quoc Dao Binh	0	5	0	1			140				enemy031	0	0	0	0	0	28	33	30	10	23	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	30	50	50	40	0	0	20	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
62	Nam Tong Thuong Binh	0	5	0	1			143				enemy034	0	0	0	0	0	24	46	28	11	22	11	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	80	70	50	0	0	0	20	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
63	Kim Quoc Thuong Binh	0	5	0	1			145				enemy036	0	0	0	0	0	24	43	30	10	21	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\standard.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	50	30	50	50	40	0	0	20	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
64	Chuyen Sinh Lao Su	3	6	0	1			146				enemy200	0	0	0	0	0	38	38																										400	10	700																					180	100		10
65	Khong Tich Dai Su	3	6	0	1			147				enemy038	0	0	0	0	0	25	26																										400	10	700																					180	100		10
66	Khong Diet Dai Su	3	6	0	1			148				enemy039	0	0	0	0	0	27	24																										400	10	700																					180	100		10
67	gioi luat vien thu toa	3	6	0	1			149				enemy040	0	0	0	0	0	33	40																										400	10	700																					180	100		10
68	dat ma vien thu toa	3	6	0	1			150				enemy041	0	0	0	0	0	19	30																										400	10	700																					180	100		10
69	chung dao vien thu toa	3	6	0	1			151				enemy042	0	0	0	0	0	26	22																										400	10	700																					180	100		10
70	la han duong thu toa	3	6	0	1			152				enemy043	0	0	0	0	0	28	36																										400	10	700																					180	100		10
71	ban nhuoc duong thu toa	3	6	0	1			153				enemy044	0	0	0	0	0	20	28																										400	10	700																					180	100		10
72	tang kinh cac thu toa	3	6	0	1			154				enemy045	0	0	0	0	0	20	45																										400	10	700																					180	100		10
73	Vo Dang Truong Mon	3	6	0	1			155				enemy046	0	0	0	0	0	31	31																										400	10	700																					180	100		10
74	vo dang ho phap diep ke my	3	6	0	1			156				enemy047	0	0	0	0	0	33	33																										400	10	400																					180	100		10
75	vo dang ho phap tu dai nhac	3	6	0	1			157				enemy048	0	0	0	0	0	27	29																										400	10	700																					180	100		10
76	Hau Due Truong Chan Nhan	3	6	0	1			158				enemy049	0	0	0	0	0	30	31																										400	10	700																					180	100		10
77	vo dang ho phap don tu nam	3	6	0	1			159				enemy050	0	0	0	0	0	36	40																										400	10	700																					180	100		10
