SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	IsMagic	Skillrank
La h¸n trËn	Kü n¨ng hç trî chñ ®éng	11	205	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_23.spr				45	1	2	0	180	0	0	0	1	7	26	-1	1	0	14	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		"ThiÓu l©m quÇn chiÕn trËn ph¸p, c«ng thñ kiªm bŞ, ®ång th× kh¶ dÜ t­¬ng tù th©n thô ®¸o ®İch th­¬ng h¹i ph¶n ®¹n chİ ®èi thñ th©n th­îng."	0	0
S­ tö hèng	C«ng kİch néi c«ng	12	200	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_42.spr	\spr\skill\ÉÙÁÖ\sl_06_Ê¨×Óºğ.spr	\sound\skill\Ê¨×Óºğ.wav	0	0	0	0	0	90	0	0	0	1	7	77	-1	1	1	11	1		2	0	0	0	54	0	0	1	0	0	0	0	0	1	28	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	lightingdamage_v	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou	skill_eventskilllevel	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		"ThiÓu l©m thiÖn x­íng, dÜ th©m hËu néi lùc chÊn vùng phô cËn ®İch ®Şch nh©n."	1	0
Long tr¶o thñ	C«ng kİch ngo¹i c«ng	13	202	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		\sound\skill\sound_k003.wav	0	0	0	0	1	90	2	1	5	1	12	14	1	2	0	10	0		0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	-1	1	60	0	10		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	lightingdamage_v	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage1	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	stun_p	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		"ThiÓu l©m long tr¶o thñ ®İch cao cÊp chiªu thøc, cô h÷u ngËn ®¹i ®İch s¸t th­¬ng lùc."	0	0
Long tr¶o thñ	C«ng kİch ngo¹i c«ng	14		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		0	0	0	0	0	0	75	0	0	0	1	1	113	-1	1	1	9	0		2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	60	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	lightingdamage_v	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage3	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	stun_p	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		Phæ th«ng c«ng kİch.	0	0
Hoµnh t¶o lôc hîp	C«ng kİch ngo¹i c«ng	15	201	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	90	5	1	6	1	8	16	1	1	1	10	1		0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	2	1	80	0	32		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	deadlystrike_p	hengsao_liuhe	addskilldamage1	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		"ThiÓu l©m cao cÊp vò c«ng, c«ng kİch phô cËn ®İch nhÊt quyÓn ®Şch nh©n."	0	0
Hoµnh t¶o lôc hîp		16		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		0	0	0	0	0	0	75	0	0	0	1	7	86	-1	1	1	9	0		5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	deadlystrike_p	hengsao_liuhe	addskilldamage2	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		Phæ th«ng c«ng kİch.	0	0
Ma ha v« l­îng	C«ng kİch ngo¹i c«ng	17	203	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_41.spr		\sound\skill\Ä¦Ú­ÎŞÁ¿.wav		0	0	0	0	200	5	2	6	1	12	249	1	2	0	10	0		5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	addskilldamage1	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdamage_p	mohe_wuliang	colddamage_v	mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		"ThiÓu l©m ®ao ph¸p trung ®İch cao cÊp chiªu thøc, dÜ th©m hËu néi lùc kİch ph¸t chiÕn ı hãa vi huyÔn ¶nh s¸t th­¬ng ®Şch nh©n."	0	0
Ma ha v« l­îng	C«ng kİch ngo¹i c«ng	249	203	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_41.spr		\sound\skill\Ä¦Ú­ÎŞÁ¿.wav		0	0	0	0	200	0	0	0	1	1	61	-1	1	1	10	0		7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	addskilldamage1	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdamage_p	mohe_wuliang	colddamage_v	mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		"ThiÓu l©m ®ao ph¸p trung ®İch cao cÊp chiªu thøc, dÜ th©m hËu néi lùc kİch ph¸t chiÕn ı hãa vi huyÔn ¶nh s¸t th­¬ng ®Şch nh©n."	0	0
Nh­ lai thiªn diÖp	Vâ c«ng trÊn ph¸i	18	9999	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_33.spr	\spr\skill\²¹³ä\born01.spr			53	0	2	1	0	0	0	0	1	7	0	-1	0	0	11	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	rulai_qianye	lifemax_p	rulai_qianye	addcolddamage_v	rulai_qianye	deadlystrikeenhance_p	rulai_qianye	attackspeed_v	rulai_qianye	skill_cost_v	rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		"ThiÓu l©m ph¸i cao cÊp néi c«ng t©m ph¸p, kh¶ dÜ toµn diÖn ®Ò th¨ng chiÕn ®Êu n¨ng lùc."	0	0
DŞch c©n kinh	Kü n¨ng hç trî bŞ ®éng	19	200	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_43.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	allres_p	yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		"ThiÓu l©m v« th­îng néi c«ng, n¨ng t¨ng gia së h÷u ®İch kh¸ng tİnh."	0	0
§¹t ma ®é giang	C«ng kİch ngo¹i c«ng	20	202	1	\spr\Ui\skill\´ïÄ¦¶É½­.spr		\sound\skill\sound_k003.wav	0	0	0	0	1	90	5	1	5	1	12	21	1	2	0	10	0		0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	20	-1	1	85	0	10		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	damo_dujiang	skill_cost_v	damo_dujiang	deadlystrike_p	damo_dujiang	addskillexp1	damo_dujiang	skill_skillexp_v	damo_dujiang	missle_speed_v	damo_dujiang	skill_attackradius	damo_dujiang	seriesdamage_p	damo_dujiang	ignoredefense_p	damo_dujiang	colddamage_v	damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang	\script\skill\skilllvlup\´ïÄ¦¶É½­.lua	"ThiÓu l©m quyÒn ph¸p trung ®İch cao cÊp chiªu thøc, kh¶ s¸t th­¬ng th©n tiÒn trùc tuyÕn th­îng ®İch së h÷u ®Şch nh©n."	0	0
Kim phËt xuÊt kİch		21		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		0	0	0	0	0	0	75	0	0	0	1	1	134	1	1	1	9	0		5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	85	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	damo_dujiang	skill_cost_v	damo_dujiang	deadlystrike_p	damo_dujiang	addskillexp1	damo_dujiang	skill_skillexp_v	damo_dujiang	missle_speed_v	damo_dujiang	skill_attackradius	damo_dujiang	seriesdamage_p	damo_dujiang	ignoredefense_p	damo_dujiang	colddamage_v	damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		damo_dujiang		Phæ th«ng c«ng kİch.	0	51
Hoµnh t¶o thiªn qu©n	C«ng kİch ngo¹i c«ng	22	201	1	\spr\Ui\skill\ºáÉ¨Ç§¾ü.spr		\sound\skill\sound_k005.wav	0	0	0	0	0	75	0	0	0	1	8	23	-1	1	1	9	0		0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	20	2	1	100	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_qianjun	skill_cost_v	hengsao_qianjun	deadlystrike_p	hengsao_qianjun	skill_attackradius	hengsao_qianjun	addskillexp1	hengsao_qianjun	skill_skillexp_v	hengsao_qianjun	seriesdamage_p	hengsao_qianjun	attackrating_p	hengsao_qianjun	colddamage_v	hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun	\script\skill\skilllvlup\ºáÉ¨Ç§¾ü.lua	"ThiÓu l©m c«n ph¸p trung ®İch cao cÊp chiªu thøc, kh¶ s¸t th­¬ng tù th©n chu vi ®İch ®a sæ ®Şch nh©n."	0	0
Hoµnh t¶o thiªn qu©n	C«ng kİch ngo¹i c«ng	23	201	0	\spr\Ui\skill\ºáÉ¨Ç§¾ü.spr		\sound\skill\sound_k005.wav	0	0	0	0	0	75	0	0	0	1	7	135	-1	1	1	9	0		2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	20	2	1	100	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_qianjun	skill_cost_v	hengsao_qianjun	deadlystrike_p	hengsao_qianjun	skill_attackradius	hengsao_qianjun	addskillexp1	hengsao_qianjun	skill_skillexp_v	hengsao_qianjun	seriesdamage_p	hengsao_qianjun	attackrating_p	hengsao_qianjun	colddamage_v	hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		"ThiÓu l©m c«n ph¸p trung ®İch cao cÊp chiªu thøc, kh¶ s¸t th­¬ng tù th©n chu vi ®İch ®a sæ ®Şch nh©n."	0	52
V« t­¬ng tr¶m	C«ng kİch ngo¹i c«ng	24	203	1	\spr\Ui\skill\ÎŞÏòÕ¶.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	400	0	2	6	1	12	25	1	2	0	10	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	wuxiang_zhan	skill_cost_v	wuxiang_zhan	addskillexp1	wuxiang_zhan	skill_skillexp_v	wuxiang_zhan	missle_speed_v	wuxiang_zhan	skill_attackradius	wuxiang_zhan		wuxiang_zhan	seriesdamage_p	wuxiang_zhan	colddamage_v	wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan	\script\skill\skilllvlup\ÎŞÏàÕ¶.lua	"ThiÓu l©m ®ao ph¸p trung ®İch cao cÊp chiªu thøc, tô tËp néi lùc t¹i gi¸c viÔn ®İch ®Şa ph­¬ng c«ng kİch ®èi thñ."	0	0
