名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字
Gia Bao Hoan	4	50	\spr\item\medecine\obj-potion15.spr	19	1	1	Toc do di chuyen tang 20% trong vong 5 phut
Dai Luc Hoan	4	51	\spr\item\medecine\obj-potion15.spr	19	1	1	Cong kich vat ly tang 100 diem trong vong 5 phut
Cao Thiem Hoan	4	52	\spr\item\medecine\obj-potion15.spr	19	1	1	"5 phan chung noi, thiem ti suat de cao 500 diem."
Cao Trung Hoan	4	53	\spr\item\medecine\obj-potion15.spr	19	1	1	"5 phan chung noi, menh trung suat de cao 500 diem."
Phi Toc Hoan	4	54	\spr\item\medecine\obj-potion15.spr	19	1	1	Toc do xuat chieu tang 50 trong vong 5 phut
Bang Phong Hoan	4	55	\spr\item\medecine\obj-potion15.spr	19	1	1	Khang bang tang 50% trong vong 5 phut
Loi Phong Hoan	4	56	\spr\item\medecine\obj-potion15.spr	19	1	1	Khang loi tang 50% trong vong 5 phut
Hao Phong Hoan	4	57	\spr\item\medecine\obj-potion15.spr	19	1	1	Khang hoa tang 50% trong vong 5 phut
Doc Phong Hoan	4	58	\spr\item\medecine\obj-potion15.spr	19	1	1	Khang doc tang 50% trong vong 5 phut
Cong Van Dich Quan	4	59	\spr\item\questkey\taskobj075.spr	41	1	1	Vat pham nhiem vu - cong van dich quan
Thu Vuong Bi	4	60	\spr\item\questkey\taskobj143.spr	41	1	1	Nguyen lieu che tao do hoang kim
Hong Tinh	4	61	\spr\item\questkey\taskobj085.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> gioi chi <color> dich than bi vat pham.
Hong Dang Quang	4	62	\spr\item\questkey\taskobj108.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hang lien <color> dich than bi dong quang.
Kien Tinh Thach	4	63	\spr\item\questkey\taskobj025.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> ngoc phoi <color> dich than bi thach dau.
Kim Te	4	64	\spr\item\questkey\golden_stone.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> yeu dai <color> dich than bi kim khoi.
Bi Ngan	4	65	\spr\item\script\item_miyinkuang.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> yeu dai <color> dich than bi ngan khoi.
Lang Phong Doan	4	66	\spr\item\questkey\taskobj068.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hai tu <color> dich than bi tru doan.
Xa Huong	4	67	\spr\item\questkey\taskobj100.spr	41	1	1	Kha di buc tru nhan kinh vuong mang xa dich vat pham.
Chuc Cam	4	68	\spr\item\questkey\taskobj089.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> dau khoi <color> dich than bi chuc cam.
Nam Minh	4	69	\spr\item\questkey\taskobj098.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> dau khoi <color> dich than bi vat pham.
Bang Tam Ti	4	70	\spr\item\questkey\bingcanwujisi.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> y phuc <color> dich than bi tam ti.
Vo Cuc Ti	4	71	\spr\item\questkey\taskobj007.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> y phuc <color> dich than bi cap ti.
Mong Ling Thao	4	72	\spr\item\questkey\taskobj100.spr	41	1	1	Nguyen lieu che tao do hoang kim
Khong Tuoc Nguyen Thach	4	73	\spr\item\script\item_kongqueshi.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> vu khi <color> dich than bi thach dau.
Huyen Thiet Khoang	4	74	\spr\item\script\item_xuantiekuang.spr	41	1	1	Truyen thuyet trung kha di hop thanh <color=fire> vu khi <color> dich than bi quang thach.
Hue Tuyen Tuu	4	75	\spr\item\questkey\taskobj098.spr	21	1	1	Giang nam danh tuu
Kim Lang Xuan	4	76	\spr\item\questkey\taskobj098.spr	21	1	1	Giang nam danh tuu
Quynh Hoa Lo	4	77	\spr\item\questkey\taskobj098.spr	21	1	1	Giang nam danh tuu
Bach Hoa Nhuong	4	78	\spr\item\questkey\taskobj098.spr	21	1	1	Giang nam danh tuu
Song Cau Dai Khuc	4	79	\spr\item\questkey\taskobj098.spr	21	1	1	Giang nam danh tuu
Tien Thao Lo	4	80	\spr\item\medecine\xiancaolu.spr	370	1	1	"1 tieu thi noi, da quai luyen cap kinh nghiem gia boi. ( trong phuc su dung vo hieu )"
Thien Son Bao Lo	4	81	\spr\item\medecine\tianshanyulu.spr	370	1	1	"1 tieu thi noi, hanh van tang gia 10 diem. ( trong phuc su dung vo hieu )"
Bach Qua Lo	4	82	\spr\item\medecine\baiguolu.spr	370	1	1	"1 tieu thi noi, so huu khang tinh tang gia 15 diem. ( trong phuc su dung vo hieu )"
Bach Cau Hoan	4	83	\spr\item\medecine\baijuwan.spr	19	1	1	Ly tuyen hau kha hoach dac thuc chien kinh nghiem.
Chia Khoa Bao Ruong	4	84	\spr\item\questkey\taskobj092-1.spr	41	1	1	"<color=red>Loai chia khoa ri set, mot vat vo gia tri."
Than Bi Bao Ruong	4	85	\spr\item\script\item_goldenbox.spr	367	2	2	"Nhat ca kim quang thiem thiem dich hap tu, thuong dien dieu khac tru than bi dich hoa van, dung thuoc thi khai khai hau kha di tuy ky dac dao nhat dang vat pham."
Nhac Vuong Kiem	4	86	\spr\item\questkey\岳王剑.spr	9	2	3	"Nhac phi dich boi kiem, kien lap bang hoi dich tin vat."
Phuc Duyen Lo (Tieu)	4	87	\spr\item\medecine\fuyuanlu_small.spr	370	1	1	Khi su dung se tang 50 diem phuc duyen
Phuc Duyen Lo (Trung)	4	88	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	Khi su dung se tang 100 diem phuc duyen
Phuc Duyen Lo (Dai)	4	89	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	Khi su dung se tang 150 diem phuc duyen
Phuc Duyen Lo (Cuc Dai)	4	90	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	"Dac dai binh dich tien lo, hat lieu nang tang gia dai luong phuc duyen"
Qua Huy Hoang (Thap)	4	91	\spr\item\questkey\huihuangzhiguo.spr	464	1	1	Khi su dung se nhan duoc 500.000 diem kinh nghiem
Qua Huy Hoang (Trung)	4	92	\spr\item\questkey\huihuangzhiguo.spr	464	1	1	Khi su dung se nhan duoc 2.000.000 diem kinh nghiem
Qua Huy Hoang (Cao)	4	93	\spr\item\questkey\huihuangzhiguo.spr	464	1	1	Khi su dung se nhan duoc 3.000.000 diem kinh nghiem
Qua Hoang Kim	4	94	\spr\item\questkey\huangjinzhiguo.spr	464	1	1	Khi su dung se nhan duoc 30.000.000 diem kinh nghiem
Phao Hoa	4	95	\spr\item\magic\icon_item_baozhu.spr	334	1	1	Tiet nhat hi khanh tat bi dung pham.
Hoa Hong	4	96	\spr\item\questkey\flower.spr	330	1	1	"Man coi hoa, kha di dan phat nhat trang man coi hoa vu."
Tinh Hong Bao Thach	4	97	\spr\item\obj_item_red.spr	333	1	1	"Sac trach huyet tinh am phong quang mang, tap vu chi nhan kha ta thu bao cai tao kinh mach."
Lam Thuy Tinh	4	98	\spr\item\questkey\baoshi_zhuanxu.spr	517	1	1	Uan tang kha di cai bien su vat ngu hanh chi khi dich thuy tinh.
Tu Thuy Tinh	4	99	\spr\item\questkey\baoshi_xingtian.spr	519	1	1	Uan tang kha di de thang su vat dang cap nang luc dich thuy tinh.
Luc Thuy Tinh	4	100	\spr\item\questkey\baoshi_nvwa.spr	518	1	1	Uan tang kha di cai bien su vat ma luc chuong ac dich thuy tinh.
Lenh Bai Phong Hoa (Tieu)	4	101	\spr\item\questkey\taskobj126.spr	385	1	1	Khi su dung se tang 50 diem phong hoa
Lenh Bai Phong Hoa（Trung）	4	102	\spr\item\questkey\taskobj126.spr	385	1	1	Khi su dung se tang 100 diem phong hoa
Lenh Bai Phong Hoa（Dai）	4	103	\spr\item\questkey\taskobj126.spr	385	1	1	Khi su dung se tang 150 diem phong hoa
Thu Cap Thu Linh Tho Phi	4	104	\spr\item\questkey\taskobj079.spr	41	1	1	Vat pham nhiem vu
Tong Quan Binh Khi	4	105	\spr\item\questkey\taskobj030.spr	41	1	1	Vat pham nhiem vu
Kim Lien Hoa	4	106	\spr\item\yulanpenjie\jinlianhua.spr	443	1	1	Nguyen lieu lam vong lien hoa
Moc Lien Hoa	4	107	\spr\item\yulanpenjie\mulianhua.spr	444	1	1	Nguyen lieu lam vong lien hoa
Thuy Lien Hoa	4	108	\spr\item\yulanpenjie\shuilianhua.spr	445	1	1	Nguyen lieu lam vong lien hoa
Hoa Lien Hoa	4	109	\spr\item\yulanpenjie\huolianhua.spr	446	1	1	Nguyen lieu lam vong lien hoa
Tho Lien Hoa	4	110	\spr\item\yulanpenjie\tulianhua.spr	447	1	1	Nguyen lieu lam vong lien hoa
Vong Hoa Kim Lien	4	111	\spr\event\hoasen\vongkimlienhoa.spr	41	2	1	Khi su dung se nhan duoc 500.000 diem kinh nghiem
Vong Hoa Moc Lien	4	112	\spr\event\hoasen\vongmoclienhoa.spr	41	2	1	Khi su dung se nhan duoc 500.001 diem kinh nghiem
Vong Hoa Thuy Lien	4	113	\spr\event\hoasen\vongthuylienhoa.spr	41	2	1	Khi su dung se nhan duoc 500.002 diem kinh nghiem
Vong Hoa Hoa Lien	4	114	\spr\event\hoasen\vonghoalienhoa.spr	41	2	1	Khi su dung se nhan duoc 500.003 diem kinh nghiem
Vong Hoa Tho Lien	4	115	\spr\event\hoasen\vongtholienhoa.spr	41	2	1	Khi su dung se nhan duoc 500.004 diem kinh nghiem
Kim Bang Tinh	4	116	\spr\event\hoingogiangsinh\jin_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Moc Bang Tinh	4	117	\spr\event\hoingogiangsinh\mu_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Thuy Bang Tinh	4	118	\spr\event\hoingogiangsinh\shui_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Hoa Bang Tinh	4	119	\spr\event\hoingogiangsinh\huo_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Tho Bang Tinh	4	120	\spr\event\hoingogiangsinh\tu_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Ngu Sac Bang Tinh	4	121	\spr\event\hoingogiangsinh\wuse_bingjin.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Ca Rot	4	122	\spr\event\vuicungnguoituyet\carot.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Canh Thong	4	123	\spr\event\vuicungnguoituyet\canhthong.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Cay Thong	4	124	\spr\event\vuicungnguoituyet\caythong.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Non Noel	4	125	\spr\event\vuicungnguoituyet\nonnoeldo.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Bong Tuyet	4	126	\spr\event\vuicungnguoituyet\bongtuyet.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Khan Choang Do	4	127	\spr\event\vuicungnguoituyet\khanchoangdo.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Khan Choang Xanh	4	128	\spr\event\vuicungnguoituyet\khanchoangxanh.spr	41	1	1	Nguyen lieu lam nguoi tuyet
Nguoi Tuyet	4	129	\spr\event\vuicungnguoituyet\nguoituyet.spr	461	1	1	Nhan doi kinh nghiem cho party trong 1 gio.
Nguoi Tuyet Choang Khan Do	4	130	\spr\event\vuicungnguoituyet\nguoituyetchoangkhando.spr	461	1	1	Nhan doi kinh nghiem trong 1 gio.
Nguoi Tuyet Choang Khan Xanh	4	131	\spr\event\vuicungnguoituyet\nguoituyetchoangkhanxanh.spr	461	1	1	Nhan doi kinh nghiem trong 30 phut.
Nguoi Tuyet Dac Biet	4	132	\spr\event\vuicungnguoituyet\nguoituyetdacbiet.spr	461	1	1	Doi qua tai NPC Ong Gia Tuyet
Nguoi Tuyet Choang Khan Do Dac Biet	4	133	\spr\event\vuicungnguoituyet\nguoituyetchoangkhandodacbiet.spr	461	1	1	Doi qua tai NPC Ong Gia Tuyet
Nguoi Tuyet Choang Khan Xanh Dac Biet	4	134	\spr\event\vuicungnguoituyet\nguoituyetchoangkhanxanhdacbiet.spr	461	1	1	Doi qua tai NPC Ong Gia Tuyet
Ga Loi Nuong	4	135	\spr\event\vuicungnguoituyet\galoinuong.spr	460	1	1	Khi su dung se nhan duoc 1.000.000 diem kinh nghiem
Bot Tinh	4	136	\spr\ffantasy\eventtet\banhgato\mianfen.spr	41	1	1	Nguyen lieu lam <color=yellow>Banh Gato<color>。
Duong Tinh	4	137	\spr\ffantasy\eventtet\banhgato\shatang.spr	41	1	1	Nguyen lieu lam <color=yellow>Banh Gato<color>。
Sua Tuoi	4	138	\spr\ffantasy\eventtet\banhgato\mailk.spr	520	1	1	Nguyen lieu lam <color=yellow>Banh Gato<color>。
Trung Ga	4	139	\spr\ffantasy\eventtet\banhgato\yadan.spr	41	1	1	Nguyen lieu lam <color=yellow>Banh Gato<color>。
Mang Cau	4	140	\spr\ffantasy\eventtet\yn_manqiuguo.spr	434	1	1	Mot trong ngu qua ngay tet
Xoai	4	141	\spr\ffantasy\eventtet\yn_mangguo.spr	437	1	1	Mot trong ngu qua ngay tet
Dua Xiem	4	142	\spr\ffantasy\eventtet\yn_yezi.spr	435	1	1	Mot trong ngu qua ngay tet
Sung	4	143	\spr\ffantasy\eventtet\yn_chengqunguo.spr	438	1	1	Mot trong ngu qua ngay tet
Du Du	4	144	\spr\ffantasy\eventtet\yn_mugua.spr	436	1	1	Mot trong ngu qua ngay tet
Hop Qua Giang Sinh	4	145	\spr\item\questkey\hopquagiangsinh.spr	344	1	1	Hop qua giang sinh
Hop Van Du	4	146	\spr\item\questkey\hopqua\hopvandu.spr	377	1	1	Hop Van Du
Hop Tien Vu	4	147	\spr\item\questkey\hopqua\hoptienvu.spr	377	1	1	Hop Tien Vu
Tui Qua May Man	4	148	\spr\item\obj_item_jixiang.spr	347	1	1	Tui Qua May Man
Tui Mung Xuan Hong	4	149	\spr\ffantasy\eventtet\tuidaihy\chuntiandalibao.spr	41	1	1	"Danh quai rot ra, ben trong co chua cac vat pham danh cho ngay le tet。"
Tui Mung Xuan Do	4	150	\spr\ffantasy\eventtet\tuidaihy\xiatiandalibao.spr	41	1	1	"Danh quai rot ra, ben trong co chua cac vat pham danh cho ngay le tet。"
Nguyen Lieu Mung Xuan	4	151	\spr\event\tanxuandaohoi\nguyenlieumungxuan.spr	516	1	1	"Danh quai rot ra, ben trong co chua cac vat pham danh cho ngay le tet。"
Banh Bi Do	4	152	\spr\event\vuicungnguoituyet\banhbido.spr	41	1	1	"Trung thu nguyet binh, su dung hau kha hoach dac y ngoai kinh hi."
Banh Gato Thuong	4	153	\spr\event\banhkem\banhkemthuong.spr	459	1	1	Sau khi su dung se nhan duoc <color=red>20.000.000 diem kinh nghiem<color> va vat pham ngau nhien.
Banh Gato Thuong Hang	4	154	\spr\event\banhkem\banhkemthuonghang.spr	459	1	1	Sau khi su dung se nhan duoc <color=red>30.000.000 diem kinh nghiem<color> va vat pham ngau nhien.
Banh Tet Nhan Dau	4	155	\spr\ffantasy\eventtet\banhchung\yn_chunbing_nan.spr	439	1	1	"<color=yellow>Banh Tet Nhan Dau<color> ngay tet, an vao se noi luc va sinh luc se tang 50% trong 10 phut"
Banh Tet Thap Cam	4	156	\spr\ffantasy\eventtet\banhchung\yn_chunbing_nan.spr	439	1	1	"<color=yellow>Banh Tet Thap Cam<color> ngay tet, an vao se duoc <color=red>500.000 diem kinh nghiem<color>。"
Banh Chung Thap Cam	4	157	\spr\ffantasy\eventtet\banhchung\yn_chunbing_bei.spr	366	1	1	"<color=yellow>Banh Chung Thap Cam<color> ngay tet, an vao se nhan duoc ngau nhien <color=red>10.000 den 20.000 diem kinh nghiem<color>。"
Banh Chung Cao Cap	4	158	\spr\ffantasy\eventtet\banhchung\yn_chunbing_bei.spr	366	1	1	"<color=yellow>Banh Chung Cao Cap<color> ngay tet, an vao se duoc <color=red>40.000.000 diem kinh nghiem<color>。"
Banh Chung Thuong Hang	4	159	\spr\ffantasy\eventtet\banhchung\yn_chunbing_bei.spr	366	1	1	"<color=yellow>Banh Chung Thuong Hang<color> ngay tet, an vao se duoc <color=red>3.000.000 diem kinh nghiem<color>。"
Banh Chung Thuong	4	160	\spr\event\tanxuandaohoi\banhchungthuong.spr	366	1	1	"<color=yellow>Banh Chung Thuong<color> ngay tet, an vao se duoc <color=red>150.000.000 diem kinh nghiem<color>。"
Banh Chung Hao Hang	4	161	\spr\event\tanxuandaohoi\banhchunghaohang.spr	366	1	1	"<color=yellow>Banh Chung Hao Hang<color> ngay tet, an vao se duoc <color=red>150.000.000 diem kinh nghiem<color>。"
Banh Chung Thuong Hang	4	162	\spr\event\tanxuandaohoi\banhchungthuonghang.spr	366	1	1	"<color=yellow>Banh Chung Thuong Hang<color> ngay tet, an vao se duoc <color=red>150.000.000 diem kinh nghiem<color>。"
Banh Trung Thu Thuong	4	163	\spr\event\lunglinhanhdenlong\banhtrungthuthuong.spr	468	1	1	Khi su dung se nhan duoc <color=red>10.000<color> diem kinh nghiem
Banh Trung Thu Dau Xanh	4	164	\spr\event\lunglinhanhdenlong\banhtrungthudauxanh.spr	468	1	1	Khi su dung se nhan duoc <color=red>20.000<color> diem kinh nghiem
Banh Trung Thu Nhan Trung	4	165	\spr\event\lunglinhanhdenlong\banhtrungthunhantrung.spr	468	1	1	Khi su dung se nhan duoc <color=red>50.000<color> diem kinh nghiem
Banh Trung Thu Dac Biet	4	166	\spr\event\lunglinhanhdenlong\banhtrungthudacbiet.spr	468	1	1	Khi su dung se nhan duoc <color=red>100.000<color> diem kinh nghiem
Banh Trung Thu Hat Sen	4	167	\spr\event\lunglinhanhdenlong\banhtrungthuhatsen.spr	468	1	1	Khi su dung se nhan duoc <color=red>200.000<color> diem kinh nghiem
Banh Trung Thu Con Heo	4	168	\spr\event\lunglinhanhdenlong\banhtrungthuconheo.spr	468	2	1	Khi su dung se nhan duoc <color=red>1.000.000<color> diem kinh nghiem
Banh Trung Thu Vong Nguyet	4	169	\spr\item\questkey\banh\banhtrungthuvongnguyet.spr	463	1	1	Khi su dung se nhan duoc <color=red>500.000<color> diem kinh nghiem
Banh Trung Thu Kien Nguyet	4	170	\spr\item\questkey\banh\banhtrungthukiennguyet.spr	347	1	1	Khi su dung se nhan duoc <color=red>1.000.000<color> diem kinh nghiem
Banh Trung Thu Thuong Nguyet	4	171	\spr\item\questkey\banh\banhtrungthuthuongnguyet.spr	347	1	1	Khi su dung se nhan duoc <color=red>3.000.000<color> diem kinh nghiem
Long Den Keo Quan	4	172	\spr\event\lunglinhanhdenlong\longdenkeoquan.spr	456	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
Long Den Buom Buom	4	173	\spr\event\lunglinhanhdenlong\longdenbuombuom.spr	451	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
Long Den Ngoi Sao	4	174	\spr\event\lunglinhanhdenlong\longdenngoisao.spr	452	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
Long Den Ong	4	175	\spr\event\lunglinhanhdenlong\longdenong.spr	453	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
Long Den Tron	4	176	\spr\event\lunglinhanhdenlong\longdentron.spr	454	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
Long Den Ca Chep	4	177	\spr\event\lunglinhanhdenlong\longdencachep.spr	455	1	1	Toi NPC <color=yellow>Le Quan<color> o cac thanh thi va thon lang de doi banh trung thu.
